"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Diet\CarbEntryPage.xaml.cs", "C#", 0, 52, 0, 0, 0, 7, 59
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Diet\CarbStatisticsPage.xaml", "XML", 68, 0, 0, 0, 3, 10, 81
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Diet\CarbStatisticsPage.xaml.cs", "C#", 0, 97, 0, 0, 22, 27, 146
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Diet\EditCarbPage.xaml", "XML", 74, 0, 0, 0, 9, 6, 89
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Diet\EditCarbPage.xaml.cs", "C#", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\General\AboutPage.xaml", "XML", 22, 0, 0, 0, 0, 4, 26
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\General\AboutPage.xaml.cs", "C#", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\General\InfoPage.xaml", "XML", 58, 0, 0, 0, 0, 11, 69
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\General\InfoPage.xaml.cs", "C#", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\General\SettingsPage.xaml", "XML", 45, 0, 0, 0, 0, 11, 56
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\General\SettingsPage.xaml.cs", "C#", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\StatisticsTabPage.xaml", "XML", 21, 0, 0, 0, 0, 4, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\StatisticsTabPage.xaml.cs", "C#", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\AddBglDataPage.xaml", "XML", 40, 0, 0, 0, 1, 6, 47
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\AddBglDataPage.xaml.cs", "C#", 0, 15, 0, 0, 0, 1, 16
